ASK_ID,Question,ShortAnswer,Answer,URL,Status,Topic,SubCategories,Audiences,RelatedQuestions,UpsellItems
11,"I applied for a credit card in response to an offer I received in the mail. I received the interest rate and other terms in the offer, but they gave me only a $250 credit limit. How is that possible?",,"Card issuers usually determine your credit limit only after you apply and they can review your full credit report. Even if you qualify for the card, the card issuer generally is not required to give you a credit limit other than any minimum credit limit listed in the offer.",/askcfpb/11/i-applied-for-a-credit-card-in-response-to-an-offer-i-received-in-the-mail-i-received-the-interest-rate-and-other-terms-in-the-offer-but-they-gave-me-only-a-250-credit-limit-how-is-that-possible.html,APPROVED,Credit cards,Applying for a credit card | Receiving credit card offers,,"<Question: 10 I applied for a card with one set of terms, but was offered a different card with different terms. What is the credit card company required to do in this situation?> | <Question: 14 Can the card issuer request information about my income, my age, and my Social Security Number when I apply for a credit card?> | <Question: 16 I applied for a credit card and was turned down. What can I do?>",Tell Your Story
12,"My children are under 21 years old, but they receive invitations to apply for credit cards. How is this possible? ",,"Card issuers may mail “invitations to apply” based on mailing lists purchased from a variety of sources, such as loyalty or rewards programs. However, credit reporting agencies are prohibited from knowingly including consumers under 21 years old on lists used to send firm offers of credit or insurance, unless the individual consented to the credit reporting agency to be included on such lists.",/askcfpb/12/my-children-are-under-21-years-old-but-they-receive-invitations-to-apply-for-credit-cards-how-is-this-possible.html,APPROVED,Credit cards,Applying for a credit card | Receiving credit card offers,,"<Question: 8 I am tired of receiving phone calls asking me to apply for a credit card. Is this legal? What can I do?> | <Question: 9 I received something in the mail offering me a credit card, but it listed three possible interest rates based on my &#147;creditworthiness.&#148; What does this mean? How can I find out what rate I will be charged?>",Credit Card Complaint
13,"I applied for a credit card, but I was told that I had to get my parents to guarantee the account. Can they do that?  ",,"If you are under 21 years old and cannot show an independent ability to make the minimum periodic payment on the account, the card issuer cannot approve your application unless someone at least 21 years old who is able to make the minimum periodic payment guarantees, co-signs, or otherwise agrees to be liable on the account. The guarantee may come from anyone at least 21 years old with the financial ability to make the payments, and does not have to come from your parents.  If you have friends under 21 who ask you to help them get a loan, consider that if they do not pay, you would be obligated to do so, and if you do not, it will likely hurt your credit history. If they do not make timely payments, this also may appear on your credit report.",/askcfpb/13/i-applied-for-a-credit-card-but-i-was-told-that-i-had-to-get-my-parents-to-guarantee-the-account-can-they-do-that.html,APPROVED,Credit reports and scores,Children and credit reports | Applying for a credit card | Other credit card account problems,Students,<Question: 16 I applied for a credit card and was turned down. What can I do?> | <Question: 20 Can a card issuer consider my age when deciding whether to issue a credit card to me?>,Credit Reporting Complaint
14,"Can the card issuer request information about my income, my age, and my Social Security Number when I apply for a credit card?",,"Yes. Before granting credit to you the card issuer may ask about your income so they know whether you can pay the required minimum periodic payment. The card issuer may also ask about your age so they know you are old enough to have the legal ability to enter into a contract. Also, the card issuer may ask for your social security number to get your credit report.",/askcfpb/14/can-the-card-issuer-request-information-about-my-income-my-age-and-my-social-security-number-when-i-apply-for-a-credit-card.html,APPROVED,Credit reports and scores,Understanding credit reports and scores | Applying for a credit card,,<Question: 20 Can a card issuer consider my age when deciding whether to issue a credit card to me?> | <Question: 21 Can a card issuer consider whether I receive government assistance when deciding whether to issue a credit card to me?>,Credit Reporting Complaint
15,I received an offer from my card issuer to transfer balances from another credit card at a low rate. How long does the rate have to stay in effect?,,"The introductory rate has to stay in effect for at least six months. The card issuer is required to tell you how long you will have the introductory rate and what rate will apply after the introductory period. If the introductory rate is variable, it can change during the first six months if the index upon which it is based (for example, the “prime rate”) changes.",/askcfpb/15/i-received-an-offer-from-my-card-issuer-to-transfer-balances-from-another-credit-card-at-a-low-rate-how-long-does-the-rate-have-to-stay-in-effect.html,APPROVED,Credit cards,Receiving credit card offers | Interest rates,,<Question: 53 My card issuer offered me the opportunity to transfer a balance at a zero percent interest rate for 12 months. I did a balance transfer and they charged me a 5 percent fee. Can they do that?> | <Question: 84 I want to close my account. What should I do?>,Credit Card Complaint
16,I applied for a credit card and was turned down. What can I do?,"If you were turned down for a credit card, the card issuer is required to give you a list of the main reasons for its decision or a notice telling you how to get the main reasons.","If the card issuer based its decision on information contained in your credit report, the card issuer also is required to give you a notice that includes the name, address, and telephone number of the credit reporting agency that provided the report. If the card issuer used a credit score to make its decision, it also must provide you with the credit score it used as well as the key factors that adversely affected your score. You have a right to get a free copy of your credit report from the credit reporting agency within 60 days after you receive the notice. If you find information in your credit report that you believe is inaccurate, you can dispute what is in the report with the credit reporting agency. The credit reporting agency is required to conduct an investigation and correct any errors it finds. If after the investigation you still believe the report to be in error, you generally have the right to have a statement added to the report stating that you dispute the information. Contact the credit reporting agency for instructions about how to add the statement to your report. You can also dispute inaccurate information in your credit report with the company that furnished the information. Tip: If you have an issue with a company’s investigation of, or response to, your dispute, you can also submit a complaint to the CFPB online or by calling (855) 411-CFPB (2372). We’ll forward it to the company and work to get a response. You can also submit a complaint about incorrect information on your credit report, if you believe your report was used incorrectly, if you have problems getting your report, or if you have a problem with a credit reporting service such as credit monitoring and identity protection.",/askcfpb/16/i-applied-for-a-credit-card-and-was-turned-down-what-can-i-do.html,APPROVED,Credit reports and scores,What affects credit scores | Building a credit record | Applying for a credit card,,"<Question: 5 How do I get a copy of my credit reports?> | <Question: 6 I got my free credit reports, but they do not include my credit scores. Can I get my credit score for free too?> | <Question: 314 How do I dispute an error on my credit report?>",Credit Card Complaint
17,I applied for a credit card and was turned down. The letter I received from the card issuer says I can get a copy of my credit report. Will getting a copy of my credit report hurt my credit score?,,"No. Getting a copy of your credit report will not hurt your credit score. If you get a copy of the report and see anything that you believe to be inaccurate, you have the right to request that the credit reporting agency investigate. You can also dispute inaccurate information in your credit report with the company that furnished the information.",/askcfpb/17/i-applied-for-a-credit-card-and-was-turned-down-the-letter-i-received-from-the-card-issuer-says-i-can-get-a-copy-of-my-credit-report-will-getting-a-copy-of-my-credit-report-hurt-my-credit-score.html,APPROVED,Credit reports and scores,Getting a credit report | Applying for a credit card,,<Question: 3 When can a card issuer look at my credit report?> | <Question: 4 Will my credit score be damaged by card issuers getting my name from a credit reporting agency and sending me an offer?  > | <Question: 314 How do I dispute an error on my credit report?>,Credit Reporting Complaint
18,I am a stay-at-home parent and was turned down for a credit card based on my income even though my spouse and I share our income and expenses. How can this be?,"Before giving you a credit card, credit card companies have to make sure you have the ability to make your payments. If you're over 21 years old with a spouse or partner, a credit card issuer can choose to look at your ability to pay either as an individual or as a couple.","It depends on whether a credit card issuer looks at whether you can pay for the card on your own. Before giving you a credit card, credit card companies have to make sure you have the ability to make your payments. If you are at least 21 years old and have a spouse or partner, a credit card issuer can choose to look at your ability to pay in two ways:As an individual, where they look only at your personal assets or income; orAs part of a couple, where they look at you and your spouse’s or partner’s combined assets or income. Example: Let’s say you’re a married, stay-at-home parent who is at least 21 years old, and you apply for a credit card with Company A. Company A turns you down and says its decision is based on your lack of income. Next, you apply for a credit card with Company B and they accept your application. This could be because Company A looked only at your personal, individual income, while Company B looked at your combined income with your spouse. Warning:  If you’re under 21, credit card companies have to look only at your individual income even if you have a spouse or partner 21 or older. In this case your individual income and/or assets could include: Income you earn yourself (such as your salary); Income or assets you earned from a company or property that you own independently or jointly with someone else; and/or Income or assets someone else regularly deposits into an account on which you are an accountholder (like an individual deposit account or a joint account). Note:  You can still have someone 21 or older, including your spouse or partner, co-sign with you on a credit card. When you do this, credit card companies will look at both yours and your co-signer’s assets or income.No matter how a credit card company looks at your ability to pay, they must do so in a way that is fair and does not discriminate against you.  Tip: If you have a problem with a credit card, you can submit a complaint to the CFPB online or by calling (855) 411-CFPB (2372).",/askcfpb/18/i-am-a-stay-at-home-spouse-or-partner-without-a-separate-income-i-share-income-and-expenses-with-my-spouse-or-partner-can-i-still-get-a-credit-card-in-my-own-name.html,APPROVED,Credit cards,,,"<Question: 14 Can the card issuer request information about my income, my age, and my Social Security Number when I apply for a credit card?> | <Question: 21 Can a card issuer consider whether I receive government assistance when deciding whether to issue a credit card to me?>",Credit Card Complaint
19,What information are card issuers not allowed to base decisions on when considering a credit card application?,,"The Equal Credit Opportunity Act does not guarantee that you will get credit. You must still pass the card issuer’s tests of creditworthiness. But the law bars discrimination based on age, sex, marital status, race, color, religion, and national origin in deciding whether to extend credit to an applicant, in deciding the terms (such as the interest rate or credit limit), or in any other aspect of a credit transaction. The law also generally bars discrimination because you receive public assistance income, or because you exercise your rights under certain federal credit laws (such as filing a billing dispute with a card issuer).  This protection means that a card issuer may not use any of the above grounds as a reason to do the following: discourage you from applying for a card  refuse you a card if you qualify provide you credit on terms different from those granted another person with similar income, credit history, and other characteristics close an existing accountCard issuers may not discriminate on the basis of national origin, but if you are a resident alien, they are allowed to consider your immigration status when making a loan decision. In particular, a card issuer can consider immigration status and any additional information that may be necessary to determine its rights and remedies regarding repayment.",/askcfpb/19/what-information-are-card-issuers-not-allowed-to-base-decisions-on-when-considering-a-credit-card-application.html,APPROVED,Credit cards,Applying for a credit card,Students | Older Americans | Servicemembers,"<Question: 9 I received something in the mail offering me a credit card, but it listed three possible interest rates based on my &#147;creditworthiness.&#148; What does this mean? How can I find out what rate I will be charged?> | <Question: 10 I applied for a card with one set of terms, but was offered a different card with different terms. What is the credit card company required to do in this situation?> | <Question: 11 I applied for a credit card in response to an offer I received in the mail. I received the interest rate and other terms in the offer, but they gave me only a $250 credit limit. How is that possible?>",Credit Card Complaint
20,Can a card issuer consider my age when deciding whether to issue a credit card to me?,,"Generally, age cannot be used to make credit decisions; however, it may be considered in certain circumstances. For example, a creditor may use an applicant’s age as part of a valid credit scoring system (so long as it does not disfavor applicants 62 years old and older). In addition, if you are under 21 years old, the card issuer cannot issue a credit card to you unless you can show an independent ability to make the minimum periodic payment on the account or someone at least 21 years old guarantees or otherwise agrees to be liable on the account. The guarantee may come from anyone at least 21 years old with the financial ability to make the payments and does not have to come from your parents.  If you have friends under 21 who ask you to help them get a loan, consider that if they do not pay, you would be obligated to do so, and if you do not, it will likely hurt your credit history. If they do not make timely payments, this also may appear on your credit report.",/askcfpb/20/can-a-card-issuer-consider-my-age-when-deciding-whether-to-issue-a-credit-card-to-me.html,APPROVED,Credit reports and scores,Building a credit record | Children and credit reports | Applying for a credit card,Students | Older Americans,"<Question: 13 I applied for a credit card, but I was told that I had to get my parents to guarantee the account. Can they do that?  > | <Question: 16 I applied for a credit card and was turned down. What can I do?>",Credit Card Complaint
21,Can a card issuer consider whether I receive government assistance when deciding whether to issue a credit card to me?,,"A card issuer cannot discriminate against you because you receive public assistance income. Like all other forms of income, the issuer can consider the likelihood that the income will continue in evaluating your creditworthiness. A card issuer may consider issues relating to, for example, whether you will continue to meet the eligibility requirements for receiving benefits.",/askcfpb/21/can-a-card-issuer-consider-whether-i-receive-government-assistance-when-deciding-whether-to-issue-a-credit-card-to-me.html,APPROVED,Credit cards,Applying for a credit card,,"<Question: 14 Can the card issuer request information about my income, my age, and my Social Security Number when I apply for a credit card?> | <Question: 16 I applied for a credit card and was turned down. What can I do?>",Credit Card Complaint
22,Can a card issuer consider my sex or marital status when deciding whether to issue a credit card to me?,,"Card issuers cannot deny credit or offer less favorable terms on the basis of sex or marital status. Typically, card issuers may not even ask your sex on an application form, and the form has to disclose that you do not have to indicate Mr., Miss, Mrs., or Ms. on the application. There are also restrictions on asking for information about your marital status. A creditor may not ask about your marital status if you are applying for individual, unsecured credit unless you live in a “community property” state or are relying on property located in a “community property” state as a basis for repayment of the credit requested. The “community property” states are Alaska (if you sign a special agreement), Arizona, California, Idaho, Louisiana, Nevada, New Mexico, Texas, Washington, and Wisconsin. If you are applying for joint or secured credit, the creditor may only ask if you are married, unmarried, or separated. The creditor must explain that the “unmarried” category includes single, divorced, and widowed persons.",/askcfpb/22/can-a-card-issuer-consider-my-sex-or-marital-status-when-deciding-whether-to-issue-a-credit-card-to-me.html,APPROVED,Credit cards,Applying for a credit card,,<Question: 86 I gave a credit card to my spouse for him/her to use. We are getting divorced and I no longer want my spouse to be able to use this card since the charges go to my account. What should I do?> | <Question: 87 My spouse and I had a joint account. We are no longer living together and the monthly bills have been sent to my spouse&#146;s address. He/she has not paid them and now the card issuer is charging late fees. Am I responsible?>,Credit Card Complaint
23,"If I am married, can a card issuer turn down my application for a credit card in my own name?",,"No. Credit card issuers may not refuse to open an account because of your marital status. You may obtain your own credit card if warranted by your individual credit profile, income, and assets. Your own credit card means a separate account in your own name, not a joint account with your spouse or a duplicate card on his/her account. If you are creditworthy, a card issuer generally may not require that your spouse co-sign your account. In general, a card issuer may not even ask for information about your spouse or former spouse when you apply for your own credit card based on your own income, unless that income is alimony, child support, or separate maintenance payments from your spouse or former spouse. (This does not apply if your spouse is going to use your account or be responsible for paying your debts on the account. It also does not apply if you live in a community property state. The community property states are Alaska (if you sign a special agreement), Arizona, California, Idaho, Louisiana, Nevada, New Mexico, Texas, Washington, and Wisconsin.)",/askcfpb/23/if-i-am-married-can-a-card-issuer-turn-down-my-application-for-a-credit-card-in-my-own-name.html,APPROVED,Credit cards,Applying for a credit card,,<Question: 86 I gave a credit card to my spouse for him/her to use. We are getting divorced and I no longer want my spouse to be able to use this card since the charges go to my account. What should I do?> | <Question: 87 My spouse and I had a joint account. We are no longer living together and the monthly bills have been sent to my spouse&#146;s address. He/she has not paid them and now the card issuer is charging late fees. Am I responsible?>,Credit Card Complaint
24,Can a card issuer consider the fact that I am not a citizen of the United States?,,"A card issuer may not discriminate on the basis of national origin. However, when making a credit decision, a card issuer may consider your immigration status and any additional information that may be needed to determine the issuer’s rights and remedies regarding repayment.In addition, under the Patriot Act, card issuers must collect certain pieces of information about individuals when opening new accounts, including name, date of birth, residential or work street address, and taxpayer or other identification number.  For credit card accounts, this information may be collected from the customer or from a third-party source.",/askcfpb/24/can-a-card-issuer-consider-the-fact-that-i-am-not-a-citizen-of-the-united-states.html,APPROVED,Credit cards,Applying for a credit card,,"<Question: 9 I received something in the mail offering me a credit card, but it listed three possible interest rates based on my &#147;creditworthiness.&#148; What does this mean? How can I find out what rate I will be charged?> | <Question: 10 I applied for a card with one set of terms, but was offered a different card with different terms. What is the credit card company required to do in this situation?> | <Question: 11 I applied for a credit card in response to an offer I received in the mail. I received the interest rate and other terms in the offer, but they gave me only a $250 credit limit. How is that possible?>",Credit Card Complaint
25,My new credit card won't work. What should I do?,,"Most new credit cards are sent in a de-activated state to the mailing address you provided on your application. This is to prevent unauthorized use should the card be stolen before you receive it. Instructions on how to activate the card will be enclosed. If you do not receive instructions, call your card issuer.",/askcfpb/25/my-new-credit-card-wont-work-what-should-i-do.html,APPROVED,Credit cards,,,"<Question: 32 When I went to use my credit card the store told me the charge was not &#147;authorized.&#148;  What does that mean?  What can I do?> | <Question: 43 I was receiving my monthly credit card statement, but did not receive one this month. What can I do? >",Tell Your Story
26,What is an unauthorized use?,"Generally,  ""unauthorized use"" refers to the use of a credit card by a person, who does not have the right to use the card.","For example, if you lose your card and someone finds it and uses it, that would be an unauthorized use. However, if you give your card to someone to use for a specific purpose and that person uses the card for a different purpose, that would generally still be considered an “authorized use” and you would still be responsible for the charge.",/askcfpb/26/what-is-an-unauthorized-use.html,APPROVED,Credit cards,Identity theft and card use without permission,,<Question: 28 I've lost my credit card. What should I do?> | <Question: 84 I want to close my account. What should I do?>,Tell Your Story
27,"I had my son purchase something for me using my credit card. Later my son used my credit card to purchase something for himself, but I told him before he made the charge not to use it. Do I have to pay?",,"Once you have authorized someone else to use your account, you are responsible for charges made by that person until you notify the card issuer in writing that the person is no longer authorized to use your credit card account. If you have not done so, you are responsible for the charges the previously authorized person made. If you have notified the card issuer, you should submit a billing dispute for any charges made after your notice was delivered.",/askcfpb/27/my-kid-made-a-purchase-with-my-credit-card-without-my-permission-do-I-have-to-pay-for-it.html,APPROVED,Credit cards,Credit card billing problems | Identity theft and card use without permission,,<Question: 26 What is an unauthorized use?> | <Question: 88 My spouse and I had a joint credit card account. We are now divorced and the amount that is owed on the account are all charges that my spouse made. Am I responsible?>,Credit Card Complaint
28,I've lost my credit card. What should I do?,,It is critical that you report the loss or theft of your credit card to the card issuer as quickly as possible. Many companies have toll-free numbers and 24-hour services to deal with such emergencies. Credit card issuers often place instructions for reporting lost or stolen cards on your monthly statement. Follow those instructions.,/askcfpb/28/ive-lost-my-credit-card-what-should-i-do.html,APPROVED,Credit cards,Identity theft and card use without permission,,<Question: 26 What is an unauthorized use?> | <Question: 30 What do I do if I think there may be additional unauthorized charges made after my card was reported lost or stolen?>,Tell Your Story
29,Am I responsible for unauthorized charges if my credit cards are lost or stolen?,"If you report a lost or stolen credit card before it is used, the card issuer cannot hold you responsible for any unauthorized charges.","If there is unauthorized use of your card before you report it missing, the most you will owe for unauthorized charges on the card is $50. You have no liability if someone makes unauthorized charges using your credit card account number. Many cardholder agreements say you are not responsible for any charges in any of these circumstances.If you have not lost the card itself, but your account number has been stolen, you have no liability for unauthorized use.",/askcfpb/29/am-i-responsible-for-unauthorized-charges-if-my-credit-cards-are-lost-or-stolen.html,APPROVED,Credit cards,Identity theft and card use without permission,,<Question: 26 What is an unauthorized use?> | <Question: 88 My spouse and I had a joint credit card account. We are now divorced and the amount that is owed on the account are all charges that my spouse made. Am I responsible?>,Credit Card Complaint
